City,Avg_Maximum_Temperature,Avg_Minimum_Temperature,Monthly
Pune,301.0950012,301.0950012,11-2011
Ahmedabad,292.4032288,291.2129211,12-2011
Bangalore,297.057251,295.2330627,12-2011
Bhopal,292.1072693,291.9959717,12-2011
Bhubaneswar,291.9717712,291.9717712,12-2011
Chennai,298.2435608,298.2435608,12-2011
Delhi,289.3733826,289.3733826,12-2011
Hyderabad,295.6105042,294.2814636,12-2011
Jaipur,289.5669556,289.5669556,12-2011
Kolkata,294.0725708,292.6080627,12-2011
Mumbai,297.9459839,297.9459839,12-2011
Pune,297.9459839,297.9459839,12-2011
Ahmedabad,291.7492065,290.1233826,01-2012
Bangalore,297.5379028,296.9742126,01-2012
Bhopal,289.8354797,289.8016052,01-2012
Bhubaneswar,291.4532166,291.4532166,01-2012
Chennai,298.0459595,298.0459595,01-2012
Delhi,287.7564697,287.7564697,01-2012
Hyderabad,296.7919312,295.1604919,01-2012
Jaipur,287.2742004,287.2742004,01-2012
Kolkata,294.1508179,293.103241,01-2012
Mumbai,295.4161377,295.4161377,01-2012
Pune,295.4161377,295.4161377,01-2012
Ahmedabad,293.4577637,292.6948242,02-2012
Bangalore,299.5655212,299.2775879,02-2012
Bhopal,292.9267273,292.7043152,02-2012
Bhubaneswar,295.134491,295.134491,02-2012
Chennai,300.125885,300.125885,02-2012
Delhi,289.252594,289.252594,02-2012
Hyderabad,299.8810425,298.2749939,02-2012
Jaipur,289.4181213,289.4181213,02-2012
Kolkata,298.004303,296.6801758,02-2012
Mumbai,297.7293091,297.7293091,02-2012
Pune,297.7293091,297.7293091,02-2012
Ahmedabad,300.3104858,300.2370911,03-2012
Bangalore,302.8475952,301.1217957,03-2012
Bhopal,299.0959778,298.7064514,03-2012
Bhubaneswar,299.2395325,299.2395325,03-2012
Chennai,302.8395081,302.8395081,03-2012
Delhi,294.2242126,294.2242126,03-2012
Hyderabad,303.0459595,301.6508179,03-2012
Jaipur,295.853241,295.853241,03-2012
Kolkata,301.4806519,299.8274231,03-2012
Mumbai,300.1040344,300.1040344,03-2012
Pune,300.1040344,300.1040344,03-2012
Ahmedabad,305.6916809,305.0666809,04-2012
Bangalore,306.3366699,304.3791809,04-2012
Bhopal,304.5683289,304.1600037,04-2012
Bhubaneswar,303.8333435,303.8333435,04-2012
Chennai,304.8908386,304.8908386,04-2012
Delhi,300.3275146,300.3275146,04-2012
Hyderabad,306.6025085,306.0491638,04-2012
Jaipur,302.6158447,302.6158447,04-2012
Kolkata,303.8450012,302.1450195,04-2012
Mumbai,302.769165,302.769165,04-2012
Pune,302.769165,302.769165,04-2012
Ahmedabad,308.1137085,307.8798523,05-2012
Bangalore,305.8395081,301.9225769,05-2012
Bhopal,307.182251,307.000824,05-2012
Bhubaneswar,305.6863098,305.6863098,05-2012
Chennai,307.6395264,307.6395264,05-2012
