DISTRICT,DT_CEN_CD,ST_CEN_CD,ST_NM,date,mean
Shrawasti,51,9,Uttar Pradesh,2001-01-01,1.85E-06
Saharanpur,1,9,Uttar Pradesh,2001-01-01,2.94E-06
Sitapur,24,9,Uttar Pradesh,2001-01-01,1.21E-06
Sultanpur,49,9,Uttar Pradesh,2001-01-01,1.78E-06
Sonbhadra,70,9,Uttar Pradesh,2001-01-01,4.19E-06
Siddharthnagar,54,9,Uttar Pradesh,2001-01-01,1.67E-06
Unnao,26,9,Uttar Pradesh,2001-01-01,1.16E-06
Varanasi,67,9,Uttar Pradesh,2001-01-01,2.20E-06
Bulandshahr,11,9,Uttar Pradesh,2001-01-01,8.77E-07
Gautam Buddha Nagar,10,9,Uttar Pradesh,2001-01-01,8.81E-07
Ghaziabad,9,9,Uttar Pradesh,2001-01-01,1.05E-06
Jalaun,35,9,Uttar Pradesh,2001-01-01,3.78E-07
Jaunpur,64,9,Uttar Pradesh,2001-01-01,1.45E-06
Jhansi,36,9,Uttar Pradesh,2001-01-01,3.85E-07
Jyotiba Phule Nagar,6,9,Uttar Pradesh,2001-01-01,1.18E-06
Kannauj,30,9,Uttar Pradesh,2001-01-01,3.16E-07
Kanpur Nagar,34,9,Uttar Pradesh,2001-01-01,1.16E-06
Kaushambi,44,9,Uttar Pradesh,2001-01-01,2.61E-06
Kheri,23,9,Uttar Pradesh,2001-01-01,1.57E-06
Mirzapur,69,9,Uttar Pradesh,2001-01-01,3.10E-06
Moradabad,4,9,Uttar Pradesh,2001-01-01,1.28E-06
Muzaffarnagar,2,9,Uttar Pradesh,2001-01-01,2.57E-06
Rae Bareli,28,9,Uttar Pradesh,2001-01-01,1.79E-06
Kushinagar,59,9,Uttar Pradesh,2001-01-01,1.48E-06
Lucknow,27,9,Uttar Pradesh,2001-01-01,1.38E-06
Lalitpur,37,9,Uttar Pradesh,2001-01-01,7.10E-07
Mahrajganj,57,9,Uttar Pradesh,2001-01-01,2.23E-06
Mahoba,39,9,Uttar Pradesh,2001-01-01,1.03E-06
Mainpuri,18,9,Uttar Pradesh,2001-01-01,1.92E-07
Mathura,14,9,Uttar Pradesh,2001-01-01,3.72E-07
Mau,62,9,Uttar Pradesh,2001-01-01,1.38E-06
Meerut,7,9,Uttar Pradesh,2001-01-01,1.66E-06
Pilibhit,21,9,Uttar Pradesh,2001-01-01,1.29E-06
Pratapgarh,43,9,Uttar Pradesh,2001-01-01,2.03E-06
Rampur,5,9,Uttar Pradesh,2001-01-01,9.39E-07
Sant Ravidas Nagar Bhadohi,68,9,Uttar Pradesh,2001-01-01,2.22E-06
Sant Kabir Nagar,56,9,Uttar Pradesh,2001-01-01,1.46E-06
Shahjahanpur,22,9,Uttar Pradesh,2001-01-01,8.86E-07
Araria,7,10,Bihar,2001-01-01,3.74E-07
Aurangabad,34,10,Bihar,2001-01-01,2.61E-06
Banka,23,10,Bihar,2001-01-01,1.41E-06
Bhagalpur,22,10,Bihar,2001-01-01,8.86E-07
Begusarai,20,10,Bihar,2001-01-01,1.38E-06
Saran,17,10,Bihar,2001-01-01,1.35E-06
Katihar,10,10,Bihar,2001-01-01,6.06E-07
Darbhanga,13,10,Bihar,2001-01-01,4.19E-07
Gopalganj,15,10,Bihar,2001-01-01,1.12E-06
Sheikhpura,26,10,Bihar,2001-01-01,6.88E-07
Sheohar,3,10,Bihar,2001-01-01,1.39E-07
Saharsa,12,10,Bihar,2001-01-01,7.40E-07
Sitamarhi,4,10,Bihar,2001-01-01,1.40E-07
Siwan,16,10,Bihar,2001-01-01,1.33E-06
Supaul,6,10,Bihar,2001-01-01,4.26E-07
Vaishali,18,10,Bihar,2001-01-01,8.58E-07
Kaimur (Bhabua),31,10,Bihar,2001-01-01,3.08E-06
Gaya,35,10,Bihar,2001-01-01,1.71E-06
Bhojpur,29,10,Bihar,2001-01-01,1.97E-06
Buxar,30,10,Bihar,2001-01-01,2.04E-06
Jehanabad,33,10,Bihar,2001-01-01,1.71E-06
Rohtas,32,10,Bihar,2001-01-01,2.82E-06
Jamui,37,10,Bihar,2001-01-01,1.30E-06
Kishanganj,8,10,Bihar,2001-01-01,4.02E-07
Muzaffarpur,14,10,Bihar,2001-01-01,3.07E-07
Purnia,9,10,Bihar,2001-01-01,4.25E-07
Khagaria,21,10,Bihar,2001-01-01,1.18E-06
Madhubani,5,10,Bihar,2001-01-01,4.13E-07
Lakhisarai,25,10,Bihar,2001-01-01,1.68E-06
Madhepura,11,10,Bihar,2001-01-01,5.74E-07
Purba Champaran,2,10,Bihar,2001-01-01,6.41E-07
Munger,24,10,Bihar,2001-01-01,1.61E-06
Nalanda,27,10,Bihar,2001-01-01,9.81E-07
Nawada,36,10,Bihar,2001-01-01,8.26E-07
Pashchim Champaran,1,10,Bihar,2001-01-01,9.16E-07
Patna,28,10,Bihar,2001-01-01,1.22E-06
Samastipur,19,10,Bihar,2001-01-01,7.46E-07
East,4,11,Sikkim,2001-01-01,1.01E-06
South,3,11,Sikkim,2001-01-01,9.03E-07
West,2,11,Sikkim,2001-01-01,7.93E-07
North,1,11,Sikkim,2001-01-01,6.57E-07
Changlang,12,12,Arunanchal Pradesh,2001-01-01,4.83E-06
Dibang Valley,10,12,Arunanchal Pradesh,2001-01-01,1.28E-06
East Kameng,3,12,Arunanchal Pradesh,2001-01-01,3.32E-06
East Siang,8,12,Arunanchal Pradesh,2001-01-01,3.98E-06
Tawang,1,12,Arunanchal Pradesh,2001-01-01,1.15E-06
Tirap,13,12,Arunanchal Pradesh,2001-01-01,4.72E-06
West Kameng,2,12,Arunanchal Pradesh,2001-01-01,2.53E-06
West Siang,7,12,Arunanchal Pradesh,2001-01-01,2.72E-06
Upper Siang,9,12,Arunanchal Pradesh,2001-01-01,8.81E-07
Upper Subansiri,6,12,Arunanchal Pradesh,2001-01-01,1.37E-06
Lohit,11,12,Arunanchal Pradesh,2001-01-01,2.85E-06
Lower Subansiri,5,12,Arunanchal Pradesh,2001-01-01,2.27E-06
Papum Pare,4,12,Arunanchal Pradesh,2001-01-01,5.17E-06
Tuensang,2,13,Nagaland,2001-01-01,3.06E-06
Wokha,5,13,Nagaland,2001-01-01,3.57E-06
Zunheboto,4,13,Nagaland,2001-01-01,3.17E-06
Dimapur,6,13,Nagaland,2001-01-01,1.22E-06
Kohima,7,13,Nagaland,2001-01-01,2.06E-06
Mokokchung,3,13,Nagaland,2001-01-01,3.92E-06
Mon,1,13,Nagaland,2001-01-01,4.13E-06
Phek,8,13,Nagaland,2001-01-01,2.88E-06
Bishnupur,4,14,Manipur,2001-01-01,1.18E-06
Chandel,9,14,Manipur,2001-01-01,8.37E-07
Churachandpur,3,14,Manipur,2001-01-01,1.30E-06
Tamenglong,2,14,Manipur,2001-01-01,1.30E-06
Thoubal,5,14,Manipur,2001-01-01,1.05E-06
Ukhrul,8,14,Manipur,2001-01-01,1.89E-06
Imphal East,7,14,Manipur,2001-01-01,1.14E-06
Imphal West,6,14,Manipur,2001-01-01,1.83E-06
Senapati (Excl. 3 sub-divisions),1,14,Manipur,2001-01-01,1.87E-06
Aizawl,3,15,Mizoram,2001-01-01,8.96E-07
Champhai,4,15,Mizoram,2001-01-01,6.27E-07
Kolasib,2,15,Mizoram,2001-01-01,1.22E-06
Mamit,1,15,Mizoram,2001-01-01,7.52E-07
Lunglei,6,15,Mizoram,2001-01-01,2.51E-07
Lawngtlai,7,15,Mizoram,2001-01-01,7.58E-08
Saiha,8,15,Mizoram,2001-01-01,1.40E-07
Serchhip,5,15,Mizoram,2001-01-01,4.04E-07
Dhalai,3,16,Tripura,2001-01-01,3.02E-07
South Tripura,2,16,Tripura,2001-01-01,0.00E+00
West Tripura,1,16,Tripura,2001-01-01,7.47E-08
North Tripura,4,16,Tripura,2001-01-01,8.74E-07
East Garo Hills,2,17,Meghalaya,2001-01-01,2.57E-06
East Khasi Hills,6,17,Meghalaya,2001-01-01,2.44E-06
Ri Bhoi,5,17,Meghalaya,2001-01-01,3.03E-06
South Garo Hills,3,17,Meghalaya,2001-01-01,2.16E-06
West Garo Hills,1,17,Meghalaya,2001-01-01,1.98E-06
West Khasi Hills,4,17,Meghalaya,2001-01-01,2.62E-06
Jaintia Hills,7,17,Meghalaya,2001-01-01,1.21E-06
Barpeta,5,18,Assam,2001-01-01,2.37E-06
Bongaigaon,4,18,Assam,2001-01-01,1.74E-06
Cachar,21,18,Assam,2001-01-01,1.68E-06
Darrang,8,18,Assam,2001-01-01,4.10E-06
Dhemaji,13,18,Assam,2001-01-01,5.84E-06
Dhubri,2,18,Assam,2001-01-01,1.03E-06
Dibrugarh,15,18,Assam,2001-01-01,6.49E-06
Kamrup,6,18,Assam,2001-01-01,2.84E-06
Karbi Anglong,19,18,Assam,2001-01-01,2.92E-06
Goalpara,3,18,Assam,2001-01-01,1.79E-06
Golaghat,18,18,Assam,2001-01-01,4.40E-06
Hailakandi,23,18,Assam,2001-01-01,1.50E-06
Sonitpur,11,18,Assam,2001-01-01,4.75E-06
Sibsagar,16,18,Assam,2001-01-01,5.33E-06
Tinsukia,14,18,Assam,2001-01-01,6.34E-06
Jorhat,17,18,Assam,2001-01-01,4.59E-06
Karimganj,22,18,Assam,2001-01-01,1.26E-06
Kokrajhar,1,18,Assam,2001-01-01,1.57E-06
Lakhimpur,12,18,Assam,2001-01-01,5.83E-06
Nagaon,10,18,Assam,2001-01-01,3.34E-06
Marigaon,9,18,Assam,2001-01-01,3.39E-06
Nalbari,7,18,Assam,2001-01-01,3.26E-06
North Cachar Hills,20,18,Assam,2001-01-01,1.27E-06
Hugli,12,19,West Bengal,2001-01-01,6.67E-07
Barddhaman,9,19,West Bengal,2001-01-01,4.68E-07
Birbhum,8,19,West Bengal,2001-01-01,1.45E-06
Bankura,13,19,West Bengal,2001-01-01,2.40E-07
Dakshin Dinajpur,5,19,West Bengal,2001-01-01,6.85E-07
Darjiling,1,19,West Bengal,2001-01-01,7.58E-07
Haora,16,19,West Bengal,2001-01-01,8.04E-07
South  Twenty Four Parganas,18,19,West Bengal,2001-01-01,1.32E-06
Uttar Dinajpur,4,19,West Bengal,2001-01-01,4.54E-07
Jalpaiguri,2,19,West Bengal,2001-01-01,6.99E-07
Koch Bihar,3,19,West Bengal,2001-01-01,4.82E-07
Murshidabad,7,19,West Bengal,2001-01-01,1.43E-06
Puruliya,14,19,West Bengal,2001-01-01,6.68E-07
Kolkata,17,19,West Bengal,2001-01-01,8.44E-07
Maldah,6,19,West Bengal,2001-01-01,9.78E-07
Nadia,10,19,West Bengal,2001-01-01,1.06E-06
North Twenty Four Parganas,11,19,West Bengal,2001-01-01,6.95E-07
Medinipur,15,19,West Bengal,2001-01-01,5.09E-07
Bokaro,13,20,Jharkhand,2001-01-01,1.34E-06
Deoghar,7,20,Jharkhand,2001-01-01,9.79E-07
Dhanbad,12,20,Jharkhand,2001-01-01,5.41E-07
Dumka,11,20,Jharkhand,2001-01-01,1.30E-06
Giridih,6,20,Jharkhand,2001-01-01,7.85E-07
Godda,8,20,Jharkhand,2001-01-01,1.56E-06
Gumla,16,20,Jharkhand,2001-01-01,3.44E-07
Ranchi,14,20,Jharkhand,2001-01-01,1.83E-06
Sahibganj,9,20,Jharkhand,2001-01-01,1.80E-06
Garhwa,1,20,Jharkhand,2001-01-01,3.70E-06
Palamu,2,20,Jharkhand,2001-01-01,1.47E-06
Chatra,3,20,Jharkhand,2001-01-01,1.46E-06
Hazaribagh,4,20,Jharkhand,2001-01-01,1.56E-06
Kodarma,5,20,Jharkhand,2001-01-01,7.14E-07
Purbi Singhbhum,18,20,Jharkhand,2001-01-01,2.82E-07
Lohardaga,15,20,Jharkhand,2001-01-01,4.13E-07
Pakaur,10,20,Jharkhand,2001-01-01,2.96E-06
Pashchimi Singhbhum,17,20,Jharkhand,2001-01-01,9.52E-07
Anugul,15,21,Orissa,2001-01-01,3.79E-07
Bhadrak,9,21,Orissa,2001-01-01,8.91E-07
Baudh,22,21,Orissa,2001-01-01,2.13E-07
Balangir,24,21,Orissa,2001-01-01,5.15E-07
Baleshwar,8,21,Orissa,2001-01-01,7.21E-07
Bargarh,1,21,Orissa,2001-01-01,3.07E-07
Kendrapara,10,21,Orissa,2001-01-01,1.14E-06
Kendujhar,6,21,Orissa,2001-01-01,6.49E-07
Debagarh,4,21,Orissa,2001-01-01,1.05E-07
Cuttack,12,21,Orissa,2001-01-01,7.69E-07
Dhenkanal,14,21,Orissa,2001-01-01,7.02E-07
Kalahandi,26,21,Orissa,2001-01-01,1.81E-07
Ganjam,19,21,Orissa,2001-01-01,7.60E-07
Gajapati,20,21,Orissa,2001-01-01,8.17E-07
Rayagada,27,21,Orissa,2001-01-01,6.25E-09
Sundargarh,5,21,Orissa,2001-01-01,3.30E-07
Sonapur,23,21,Orissa,2001-01-01,2.77E-07
Jajapur,13,21,Orissa,2001-01-01,8.00E-07
Jagatsinghapur,11,21,Orissa,2001-01-01,1.08E-06
Jharsuguda,2,21,Orissa,2001-01-01,1.57E-07
Khordha,17,21,Orissa,2001-01-01,8.30E-07
Mayurbhanj,7,21,Orissa,2001-01-01,4.63E-07
Puri,18,21,Orissa,2001-01-01,9.53E-07
Koraput,29,21,Orissa,2001-01-01,1.32E-07
Malkangiri,30,21,Orissa,2001-01-01,2.46E-07
Nabarangapur,28,21,Orissa,2001-01-01,2.95E-08
Nayagarh,16,21,Orissa,2001-01-01,5.03E-07
Nuapada,25,21,Orissa,2001-01-01,6.32E-07
Kandhamal,21,21,Orissa,2001-01-01,2.80E-07
Sambalpur,3,21,Orissa,2001-01-01,4.03E-08
Bastar,15,22,Chhattisgarh,2001-01-01,3.77E-07
Dantewada,16,22,Chhattisgarh,2001-01-01,2.56E-07
Dhamtari,13,22,Chhattisgarh,2001-01-01,7.28E-07
Durg,10,22,Chhattisgarh,2001-01-01,1.16E-06
Kanker,14,22,Chhattisgarh,2001-01-01,5.08E-07
Surguja,2,22,Chhattisgarh,2001-01-01,4.10E-06
Bilaspur,7,22,Chhattisgarh,2001-01-01,1.69E-06
Janjgir - Champa,6,22,Chhattisgarh,2001-01-01,4.24E-07
Korba,5,22,Chhattisgarh,2001-01-01,2.13E-06
Kawardha,8,22,Chhattisgarh,2001-01-01,2.12E-06
Jashpur,3,22,Chhattisgarh,2001-01-01,1.45E-06
Koriya,1,22,Chhattisgarh,2001-01-01,5.46E-06
Mahasamund,12,22,Chhattisgarh,2001-01-01,2.52E-07
Raigarh,4,22,Chhattisgarh,2001-01-01,8.26E-07
Raipur,11,22,Chhattisgarh,2001-01-01,5.90E-07
Rajnandgaon,9,22,Chhattisgarh,2001-01-01,9.87E-07
Hoshangabad,37,23,Madhya Pradesh,2001-01-01,3.35E-07
Indore,26,23,Madhya Pradesh,2001-01-01,2.86E-10
Bhind,3,23,Madhya Pradesh,2001-01-01,8.93E-08
Bhopal,32,23,Madhya Pradesh,2001-01-01,1.24E-07
Barwani,28,23,Madhya Pradesh,2001-01-01,0.00E+00
Betul,35,23,Madhya Pradesh,2001-01-01,3.11E-07
Balaghat,45,23,Madhya Pradesh,2001-01-01,3.28E-06
Chhatarpur,9,23,Madhya Pradesh,2001-01-01,1.41E-06
Chhindwara,43,23,Madhya Pradesh,2001-01-01,1.12E-06
Dewas,23,23,Madhya Pradesh,2001-01-01,8.90E-09
Katni,38,23,Madhya Pradesh,2001-01-01,1.75E-06
Datia,5,23,Madhya Pradesh,2001-01-01,1.07E-07
Damoh,12,23,Madhya Pradesh,2001-01-01,1.42E-06
Dhar,25,23,Madhya Pradesh,2001-01-01,0.00E+00
East Nimar,29,23,Madhya Pradesh,2001-01-01,5.16E-07
Guna,7,23,Madhya Pradesh,2001-01-01,1.11E-07
Gwalior,4,23,Madhya Pradesh,2001-01-01,5.90E-08
Harda,36,23,Madhya Pradesh,2001-01-01,8.81E-09
Shajapur,22,23,Madhya Pradesh,2001-01-01,3.02E-08
Shivpuri,6,23,Madhya Pradesh,2001-01-01,6.72E-08
Ratlam,20,23,Madhya Pradesh,2001-01-01,0.00E+00
Rewa,14,23,Madhya Pradesh,2001-01-01,3.43E-06
Sagar,11,23,Madhya Pradesh,2001-01-01,9.18E-07
Sidhi,17,23,Madhya Pradesh,2001-01-01,4.37E-06
Ujjain,21,23,Madhya Pradesh,2001-01-01,1.51E-09
Vidisha,31,23,Madhya Pradesh,2001-01-01,2.86E-07
West Nimar,27,23,Madhya Pradesh,2001-01-01,3.99E-08
Morena,2,23,Madhya Pradesh,2001-01-01,3.41E-08
Sheopur,1,23,Madhya Pradesh,2001-01-01,2.61E-09
Dindori,41,23,Madhya Pradesh,2001-01-01,3.61E-06
Mandla,42,23,Madhya Pradesh,2001-01-01,5.77E-06
Shahdol,16,23,Madhya Pradesh,2001-01-01,3.14E-06
Umaria,15,23,Madhya Pradesh,2001-01-01,2.62E-06
Jabalpur,39,23,Madhya Pradesh,2001-01-01,1.70E-06
Jhabua,24,23,Madhya Pradesh,2001-01-01,0.00E+00
Mandsaur,19,23,Madhya Pradesh,2001-01-01,0.00E+00
Tikamgarh,8,23,Madhya Pradesh,2001-01-01,7.34E-07
Narsimhapur,40,23,Madhya Pradesh,2001-01-01,1.11E-06
Neemuch,18,23,Madhya Pradesh,2001-01-01,0.00E+00
Panna,10,23,Madhya Pradesh,2001-01-01,1.48E-06
Raisen,34,23,Madhya Pradesh,2001-01-01,4.67E-07
Rajgarh,30,23,Madhya Pradesh,2001-01-01,6.68E-08
Satna,13,23,Madhya Pradesh,2001-01-01,2.39E-06
Sehore,33,23,Madhya Pradesh,2001-01-01,6.40E-08
Seoni,44,23,Madhya Pradesh,2001-01-01,2.11E-06
Anand,15,24,Gujarat,2001-01-01,0.00E+00
Ahmadabad,7,24,Gujarat,2001-01-01,0.00E+00
Amreli,13,24,Gujarat,2001-01-01,0.00E+00
Bhavnagar,14,24,Gujarat,2001-01-01,0.00E+00
Banas Kantha,2,24,Gujarat,2001-01-01,0.00E+00
Dohad,18,24,Gujarat,2001-01-01,0.00E+00
