DISTRICT,year,mean NDVI
Chandigarh,2000,0.2493236353852280
Dadra & Nagar Haveli,2000,0.2982852045369960
Lakshadweep,2000,-0.22385691808162700
Data Not Available,2000,0.0932703706506192
Jammu,2000,0.3163279817565160
Kargil,2000,0.05606653238205520
Kathua,2000,0.32378900485029200
Leh (Ladakh),2000,0.04636025591535720
Kupwara,2000,0.2743126969265780
Punch,2000,0.3130408322839720
Pulwama,2000,0.2667218446721940
Rajauri,2000,0.3296694938167970
Anantnag,2000,0.22039006645291600
Badgam,2000,0.2438431423910840
Baramula,2000,0.2198045786143000
Doda,2000,0.1890742367773610
Srinagar,2000,0.20186033120008000
Udhampur,2000,0.3159240216237520
Kangra,2000,0.29348255994348600
Kinnaur,2000,0.09253291055886430
Lahul & Spiti,2000,0.06215076342329780
Kullu,2000,0.2485776949622360
Mandi,2000,0.3639164824421470
Shimla,2000,0.3447973654891110
Bilaspur,2000,0.32208081999234600
Chamba,2000,0.23668491090528900
Hamirpur,2000,0.3458098914063920
Sirmaur,2000,0.3776522949609600
Solan,2000,0.3648269870127950
Una,2000,0.3165896641012060
Jalandhar,2000,0.33660163121472800
Kapurthala,2000,0.3366578877314640
Ludhiana,2000,0.35020949552777500
Mansa,2000,0.2926829858540530
Moga,2000,0.3417857071150420
Muktsar,2000,0.29324309446685600
Nawanshahr,2000,0.34499865383121300
Patiala,2000,0.3283720918552210
Sangrur,2000,0.3603526427278960
Amritsar,2000,0.3454898941294560
Firozpur,2000,0.311201514541961
Bathinda,2000,0.28188582044431000
Gurdaspur,2000,0.3423046286605400
Faridkot,2000,0.3032719811211510
Fatehgarh Sahib,2000,0.338861282560624
Rupnagar,2000,0.3178014458854020
Hoshiarpur,2000,0.34148813966002600
Nainital,2000,0.3976848297206430
Pithoragarh,2000,0.2482786011855720
Bageshwar,2000,0.3743495170124660
Almora,2000,0.4039600868564770
Chamoli,2000,0.2403758144782450
Champawat,2000,0.41291724383485800
Dehradun,2000,0.4018539516117230
Garhwal,2000,0.4153233890773530
Rudraprayag,2000,0.3756960872852840
Tehri Garhwal,2000,0.3977238264093270
Udham Singh Nagar,2000,0.33010295006184300
Uttarkashi,2000,0.2562759756004650
Hardwar,2000,0.358386828538936
Jind,2000,0.3175529609470960
Kaithal,2000,0.32811936912135500
Karnal,2000,0.3173599518154740
Kurukshetra,2000,0.33526559507225900
Panchkula,2000,0.3196459170098990
Panipat,2000,0.317952561690378
Ambala,2000,0.3211093519303780
Gurgaon,2000,0.23408190188549800
Faridabad,2000,0.2501289583075620
Fatehabad,2000,0.2884995304392000
Rohtak,2000,0.2825935281495640
Sirsa,2000,0.22860795812089300
Sonipat,2000,0.29353915900195400
Yamunanagar,2000,0.34412113250045300
Jhajjar,2000,0.2636271418933560
Mahendragarh,2000,0.2724378746393410
Rewari,2000,0.27164835321594300
Bhiwani,2000,0.2327221879590140
Hisar,2000,0.26487381110791800
Central,2000,0.1387461824816610
East,2000,0.1455675553967590
New Delhi,2000,0.2304098010538590
North,2000,0.16978558538461000
North East,2000,0.12006668058840300
North West,2000,0.21462191192695
South,2000,0.2047301294582840
South West,2000,0.21334131518371800
West,2000,0.15018798685182700
Jaipur,2000,0.2252299530195160
Jaisalmer,2000,0.06834018385020120
Jalor,2000,0.1746505321982910
Jhalawar,2000,0.2414197050369040
Jhunjhunun,2000,0.19995660588876000
Jodhpur,2000,0.1124656788408640
Kota,2000,0.24409605682475900
Nagaur,2000,0.16094834391489500
Pali,2000,0.17814384462217300
Rajsamand,2000,0.1942663560611300
Sawai Madhopur,2000,0.20776481480945700
Ajmer,2000,0.18358079602503900
Banswara,2000,0.2217110426102310
Barmer,2000,0.0910323288419892
Bhilwara,2000,0.19519755067728300
Bikaner,2000,0.07180654325145170
Bharatpur,2000,0.2178614276069730
Bundi,2000,0.2383200652706550
Chittaurgarh,2000,0.2321295952458130
Churu,2000,0.1028777538611360
Dausa,2000,0.23823974690025800
Dhaulpur,2000,0.2175977825459930
Dungarpur,2000,0.21513675511527300
Karauli,2000,0.20873939368311100
Sirohi,2000,0.2153522386914850
