City,Maximum_Mean_Temperature,Minimum_Mean_Temperature,Quarter,Ward
Ahmedabad,306.9395752,306.9395752,2011_Q2,12 NARODA
Ahmedabad,306.9395752,306.9395752,2011_Q2,11 SARDARNAGAR
Ahmedabad,306.9395752,306.9395752,2011_Q2,10 S.P.STADIUM
Ahmedabad,306.9395752,306.9395752,2011_Q2,09 NARANPURA
Ahmedabad,306.9395752,306.8815918,2011_Q2,08 THALTEJ
Ahmedabad,306.9395752,306.9395752,2011_Q2,07 GHATLODIA
Ahmedabad,306.9395752,306.9395752,2011_Q2,06 NEW WADAJ
Ahmedabad,306.9395752,306.9395752,2011_Q2,05 RANIP
Ahmedabad,306.9395752,306.9395752,2011_Q2,04 SABARMATI
Ahmedabad,306.9395752,306.9395752,2011_Q2,03 CHANDKHEDA
Ahmedabad,306.9395752,306.9395752,2011_Q2,02 CHANDLODIA
Ahmedabad,306.9395752,306.8815918,2011_Q2,01 GOTA
Ahmedabad,301.5005493,301.5005493,2011_Q3,48 RAMOL HATHIJAN
Ahmedabad,301.5005493,301.5005493,2011_Q3,47 VATVA
Ahmedabad,301.5005493,301.5005493,2011_Q3,46 LAMBHA
Ahmedabad,301.5005493,301.5005493,2011_Q3,45 ISANPUR
Ahmedabad,301.5005493,301.5005493,2011_Q3,44 KHOKHRA
Ahmedabad,301.5005493,301.5005493,2011_Q3,43 BHAIPURA HATKESHWAR
Ahmedabad,301.5005493,301.5005493,2011_Q3,42 INDRAPURI
Ahmedabad,301.5005493,301.5005493,2011_Q3,41 VASTRAL
Ahmedabad,301.5005493,301.5005493,2011_Q3,40 ODHAV
Ahmedabad,301.5005493,301.5005493,2011_Q3,39 AMRAIWADI
Ahmedabad,301.5005493,301.5005493,2011_Q3,38 GOMTIPUR
Ahmedabad,301.5005493,301.5005493,2011_Q3,37 MANINAGAR
Ahmedabad,301.5005493,301.5005493,2011_Q3,36 DANILIMDA
Ahmedabad,301.5005493,301.5005493,2011_Q3,35 BAHERAMPURA
Ahmedabad,303.4744568,301.5005493,2011_Q3,34 MAKTAMPURA
Ahmedabad,303.4744568,301.5005493,2011_Q3,33 SARKHEJ
Ahmedabad,301.5005493,301.5005493,2011_Q3,32 VEJALPUR
Ahmedabad,301.5005493,301.5005493,2011_Q3,31 VASNA
Ahmedabad,301.5005493,301.5005493,2011_Q3,30 PALDI
Ahmedabad,301.5005493,301.5005493,2011_Q3,29 JAMALPUR
Ahmedabad,301.5005493,301.5005493,2011_Q3,28 KHADIA
Ahmedabad,301.5005493,301.5005493,2011_Q3,27 SARASPUR-RAKHIYAL
Ahmedabad,301.5005493,301.5005493,2011_Q3,26 BAPUNAGAR
Ahmedabad,301.5005493,301.5005493,2011_Q3,25 VIRATNAGAR
Ahmedabad,301.5005493,301.5005493,2011_Q3,24 NIKOL
Ahmedabad,301.5005493,301.5005493,2011_Q3,23 THAKKARBAPANAGAR
Ahmedabad,301.5005493,301.5005493,2011_Q3,22 INDIA COLONY
Ahmedabad,301.5005493,301.5005493,2011_Q3,21 DARIYAPUR
Ahmedabad,303.4744568,301.5005493,2011_Q3,20 JODHPUR
Ahmedabad,303.4744568,301.5005493,2011_Q3,19 BODAKDEV
Ahmedabad,301.5005493,301.5005493,2011_Q3,18 NAVRANGPURA
Ahmedabad,301.5005493,301.5005493,2011_Q3,17 SHAHPUR
Ahmedabad,301.5005493,301.5005493,2011_Q3,16 SHAHIBAG
Ahmedabad,301.5005493,301.5005493,2011_Q3,15 ASARWA
Ahmedabad,301.5005493,301.5005493,2011_Q3,14 KUBERNAGR
Ahmedabad,301.5005493,301.5005493,2011_Q3,13 SAIJPUR BOGHA
Ahmedabad,301.5005493,301.5005493,2011_Q3,12 NARODA
Ahmedabad,301.5005493,301.5005493,2011_Q3,11 SARDARNAGAR
Ahmedabad,301.5005493,301.5005493,2011_Q3,10 S.P.STADIUM
Ahmedabad,301.5005493,301.5005493,2011_Q3,09 NARANPURA
Ahmedabad,303.4744568,301.5005493,2011_Q3,08 THALTEJ
Ahmedabad,301.5005493,301.5005493,2011_Q3,07 GHATLODIA
Ahmedabad,301.5005493,301.5005493,2011_Q3,06 NEW WADAJ
Ahmedabad,301.5005493,301.5005493,2011_Q3,05 RANIP
Ahmedabad,301.5005493,301.5005493,2011_Q3,04 SABARMATI
Ahmedabad,301.5005493,301.5005493,2011_Q3,03 CHANDKHEDA
Ahmedabad,301.5005493,301.5005493,2011_Q3,02 CHANDLODIA
Ahmedabad,303.4744568,301.5005493,2011_Q3,01 GOTA
Ahmedabad,298.0796204,298.0796204,2011_Q4,48 RAMOL HATHIJAN
Ahmedabad,298.0796204,298.0796204,2011_Q4,47 VATVA
Ahmedabad,298.0796204,298.0796204,2011_Q4,46 LAMBHA
Ahmedabad,298.0796204,298.0796204,2011_Q4,45 ISANPUR
